employee_id,department,position,month,productivity_score,quality_score,attendance_rate,teamwork_score,initiative_score,communication_score,problem_solving_score,adaptability_score,leadership_score,projects_completed,training_hours,overtime_hours,client_satisfaction,overall_performance_score
EMP0001,Marketing,Marketing Specialist,2023-01,81.05774590655697,71.52591780524648,92.24110521883595,82.87746650792704,93.69353340764422,62.30528601671877,97.06679290541189,87.21982613196116,58.55562999942269,1,5.692737437220222,1.7468548101279597,83.81812406544395,79.28777483511114
EMP0001,Marketing,Marketing Specialist,2023-02,88.24241320650658,78.71058510519609,99.42577251878556,90.06213380787665,100.0,69.48995331666838,100.0,94.40449343191077,65.7402972993723,0,3.948432719852934,2.7174813647763454,91.00279136539356,85.83123452094135
EMP0001,Marketing,Marketing Specialist,2023-03,80.71939588700806,71.18756778569757,91.90275519928704,82.53911648837813,93.35518338809531,61.96693599716986,96.72844288586298,86.88147611241224,58.21727997987379,1,4.826699523850699,1.8275777391720514,83.47977404589504,78.94942481556224
EMP0001,Marketing,Marketing Specialist,2023-04,92.28019670306104,82.74836860175054,100.0,94.0999173044311,100.0,73.52773681322283,100.0,98.44227692846522,69.77808079592675,3,1.6929621361182794,3.7216040179074916,95.04057486194802,88.85957214335717
EMP0001,Marketing,Marketing Specialist,2023-05,83.1187895502038,73.5869614488933,94.30214886248278,84.93851015157387,95.75457705129105,64.3663296603656,99.12783654905871,89.28086977560798,60.616673643069525,0,3.985530095164094,2.5165244073311577,85.87916770909078,81.34881847875796
EMP0001,Marketing,Marketing Specialist,2023-06,83.27679891295756,73.74497081164706,94.46015822523654,85.09651951432762,95.91258641404481,64.52433902311935,99.28584591181247,89.43887913836174,60.774683005823285,2,3.0032967120367164,6.234832317592883,86.03717707184454,81.50682784151174
EMP0001,Marketing,Marketing Specialist,2023-07,85.27593615687015,75.74410805555965,96.45929546914913,87.09565675824021,97.9117236579574,66.52347626703194,100.0,91.43801638227433,62.77382024973587,0,1.0251766704903305,2.2713288198272092,88.03631431575712,83.34534219095869
EMP0001,Marketing,Marketing Specialist,2023-08,84.46976745377809,74.9379393524676,95.65312676605707,86.28948805514815,97.10555495486534,65.71730756393988,100.0,90.63184767918227,61.96765154664381,0,8.84324549341618,4.766832964432233,87.23014561266507,82.63994457575313
EMP0001,Marketing,Marketing Specialist,2023-09,83.74474728764908,74.21291918633858,94.92810659992806,85.56446788901914,96.38053478873633,64.99228739781087,99.75379428650399,89.90682751305326,61.242631380514794,1,0.6379350653756077,2.627517465035607,86.50512544653606,81.97477621620325
EMP0001,Marketing,Marketing Specialist,2023-10,85.24222098889005,75.71039288757956,96.42558030116903,87.06194159026012,97.8780084899773,66.48976109905185,100.0,91.40430121429424,62.74010508175578,0,2.182722351738962,2.068316143888265,88.00259914777703,83.31584141897612
